mz_rt	C1	C2	C3	H1	H2	H3	QC01	QC02	QC03
553.2909_2.71	77902272.86	81191725.21	76137251.19	9628.124034	0	0	76755815.1	82114459.57	74239285.74
529.2617_2.74	2789868.318	2699430.204	2911058.377	0	0	0	2644319.288	2743832.332	2597402.244
542.2932_2.76	1899665.887	1755549.345	2004705.946	0	0	0	1586216.613	1762006.256	1682066.188
582.2521_2.76	1355107.546	1343645.319	792991.8379	0	0	0	1329143.188	1511615.288	1361864.861
304.1768_2.8	555864.2779	520194.5811	591755.6523	0	3687.108743	841.6074912	484547.0779	513050.2344	498162.2627
383.7192_2.8	5570785.966	5331505.083	6651021.62	0	0	0	5260563.779	5679534.031	5162392.032
478.2494_2.8	1399655.68	1323924.724	1548226.308	0	0	0	1399966.379	1438033.075	1311895.821
497.2716_2.81	6235084.918	6358735.908	7237224.142	0	0	0	5707076.501	6680603.946	5917015.245
274.1758_2.84	1955648.812	1883483.899	2180308.192	0	0	0	1791484.698	1865822.616	1736309.658
434.2067_2.87	324475.188	367148.1062	357380.5137	3.418017033	0	0	323106.8136	343314.9528	332358.4159
742.3731_2.87	3333795.627	3456635.194	3624676.959	0	0	0	3161685.561	3436270.397	2972505.231
195.1128_2.88	97707.38938	103089.3386	61873.74597	7487.978869	5298.674984	5980.922561	87534.00378	107544.5444	100942.501
428.2498_2.88	1224462.518	1272548.096	1414777.18	0	0	0	1148688.157	1179874.466	1046060.389
531.2775_2.9	4252848.319	4291682.869	4431913.497	0	0	0	4039241.609	4194922.659	3857602.939
439.745_2.91	1137229.281	1094904.366	1282294.946	0	0	0	1087455.01	1054739.152	1040204.843
298.0965_2.92	1489.572618	1518.884438	3242.521657	3380777.145	3358834.969	3048677.328	107225.5308	106232.5507	98642.91277
247.1286_2.95	954868.6066	1030082.482	947155.145	678909.724	583240.0187	488713.4803	1093900.133	1091281.523	1048224.021
584.2671_2.95	1173921.376	1117186.876	1123948.422	0	0	0	1269865.605	1126238.266	1056679.085
260.1238_2.95	510392.6357	482527.2982	524423.7352	833.3603176	2059.562969	489.6043065	484968.0487	463492.9855	462087.3123
237.1232_2.98	480968.9547	463468.7234	512074.3287	1916.926595	2891.571308	985.3566372	443831.0426	439094.6611	438815.9767
377.2025_2.98	395421.8328	340877.3397	467471.2637	496.7660112	300.6310234	142.2463724	374425.6916	346114.7512	354955.6134
229.1182_3.01	1093338.026	1141580.601	953687.3052	2158.792022	2867.143114	1179.795273	1167437.689	1153101.755	1127117.79
577.7842_3.01	10685609.63	11991560.09	10493071.22	0	0	0	11695325.25	11290087.99	10717040.15
454.2654_3.02	577910.2873	536714.404	658774.722	0	0	0	535050.7111	504121.8028	529921.4758
684.3675_3.05	626138.8484	570623.3136	698664.2985	0	0	0	556052.9544	624362.662	625705.6793
202.097_3.07	175978.5514	179815.7472	94751.43253	278987.8767	399176.7597	366085.4345	199427.7637	184035.9735	191454.6849
304.1499_3.07	770415.4831	794259.0581	768470.8689	25800.34317	27161.95862	9970.639372	796081.3136	801713.9153	784801.4227
610.3188_3.07	2432794.156	2434975.817	2670614.047	0	0	0	2437488.505	2281704.914	2185414.943
678.8374_3.07	1747364.475	2109699.079	1708800.475	0	0	0	1852241.836	2160115.037	1805881.176
759.8588_3.09	3502951.33	1944863.479	2756286.657	0	0	0	2919320.238	2974579.692	2763350.199
231.1701_3.11	3113973.722	2951272.448	3567293.272	578.8453238	655.8581839	0	2844446.742	2724290.222	2752647.376
357.1765_3.11	1144035.813	1145065.883	992756.6293	0	0	0	1103922.925	1156654	1106338.996
546.7694_3.13	1413304.082	1668688.141	1160696.147	0	0	0	1708427.633	1721094.141	1493540.727
575.2803_3.14	14677989.56	17179416.63	11894623.35	0	0	0	17183990.22	17137070.17	15806915.07
569.787_3.17	16493660.12	20052417.88	16851814.91	0	0	0	17654844.67	16876142.68	16591614.45
476.7365_3.18	912937.6201	1051612.138	949058.8566	0	0	0	998045.3783	968214.1755	943536.5172
532.7723_3.2	907652.844	1062627.412	743187.9248	0	0	0	972752.7906	945894.8963	920414.6889
659.3168_3.2	1069063.127	1177466.119	1062594.919	0	0	0	1004011.436	1088148.312	1109128.65
511.2873_3.21	2961116.508	3102979.817	3625682.454	0	0	0	2867443.144	2866673.412	2721521.957
464.2137_3.23	1437528.483	1604691.127	1436160.723	0	0	0	1512036.698	1506679.651	1397974.452
451.2402_3.24	1164854.156	1228180.194	1460914.533	0	0	0	1178185.324	1111042.333	1097190.516
478.2691_3.28	1620683.793	1654238.873	2158917.153	0	0	0	1564343.799	1546085.217	1574833.553
501.2303_3.28	1684260.748	1697628.137	1728118.568	0	0	0	1446485.728	1436613.493	1359811.938
383.1921_3.3	1302741.054	1368635.62	1081445.237	0	0	0	1385597.309	1325427.151	1323408.122
212.1181_3.32	134905.0464	128254.2252	101840.6414	7112.107565	32991.71823	0	102541.7816	95899.28123	104678.0868
197.1284_3.33	385137.5505	367083.3972	271869.6014	11572.95724	14108.33671	12247.92844	326334.3759	332347.5657	351844.4091
472.2758_3.33	367951.8092	421312.1787	565544.7676	0	0	0	353864.7757	375879.7566	355308.7651
404.1923_3.34	307948.8718	332970.1647	311447.7128	0	0	0	323042.8792	285398.9619	294567.3411
866.4732_3.34	782340.5453	643286.2724	633643.9714	0	0	0	723446.1895	687077.874	790764.5976
626.3505_3.37	8706537.093	8728429.867	11129494.71	0	856.5522973	0	8187256.642	7711166.872	8089728.481
612.3347_3.4	9363661.917	10042696.63	11095574.85	0	0	0	9102765.13	9043223.405	9120076.757
814.3932_3.41	1349595.266	1544600.259	1249242.878	0	0	0	1250885.198	1278579.708	1212800.111
449.7585_3.44	2116775.294	2222872.636	2766138.024	0	0	0	2073868.903	2067485.657	2061981.237
705.3199_3.47	10331283.09	10339010.13	9561733.284	0	0	0	9699953.794	9970475.98	10047241.98
616.366_3.48	1363395.532	1287489.572	1767135.192	0	0	0	1152313.814	1190651.792	1234527.214
541.297_3.49	611313.5958	614304.2969	752122.4792	0	0	0	496838.4507	516888.3367	593355.3033
401.1851_3.51	1546330.422	1661900.088	1760570.6	0	0	0	1490181.604	1430543.469	1495159.128
652.8325_3.51	1388514.222	1430232.389	1273760.296	0	0	0	1445673.548	1453644.253	1447522.149
798.3994_3.54	990744.9362	922175.5051	851542.5135	0	0	0	822639.2394	816214.6515	808833.2099
812.4143_3.55	811808.0272	711329.3856	736237.1596	0	0	0	581014.3092	592576.7311	569148.2281
328.2226_3.56	170563.7828	165610.8906	234916.8539	0	0	0	151807.5618	142747.4952	145267.7291
544.7956_3.6	327378.074	290138.2322	398257.4004	0	0	0	262735.2711	225581.1034	246629.5142
695.3349_3.6	2495929.336	2465421.949	2082081.066	0	0	0	2429137.838	2475997.741	2485186.936
160.1331_3.64	9702.988403	7699.369857	3250.980042	107667.9066	157060.2168	68519.00692	28344.05033	25974.67917	26852.92777
537.3028_3.64	1150188.754	1094066.594	1449901.256	0	0	0	987469.844	984251.4189	1039733.341
780.4243_3.66	10709100.26	9904578.471	12362753.5	0	0	0	9253630.206	9095140.527	9384185.816
463.2545_3.73	374788.7904	339240.096	459927.6267	0	0	0	311832.6982	275498.1643	328368.7406
468.2812_3.75	410050.8106	360580.8537	562668.4192	0	0	0	325706.7602	313484.8646	349565.8675
320.1238_3.78	443742.3204	415025.1011	383139.6233	0	0	0	439540.6478	401899.1867	414055.0357
360.2123_3.81	452033.7619	409959.7143	599846.239	2489.385208	2834.99201	0	363836.5608	369479.968	382289.1089
723.4026_3.81	2602393.89	2245543.162	3040826.26	1397.862096	3307.756103	0	2198570.979	2071609.03	2188193.195
261.123_3.84	308165.8609	261782.0802	277532.2409	714.8856311	2018.890445	627.4987393	204833.2779	216833.3902	229045.0488
385.3168_3.87	0	0	0	338705.9753	340970.9243	307673.9774	1483.065002	0	0
871.452_3.91	1963069.169	1659860.271	1800551.205	0	0	0	1552147.909	1588625.621	1463654.674
279.1697_3.92	73113.35621	54304.78484	97393.12586	0	1.087565096	0	46880.00898	38632.64075	42839.84147
